ID,Variable 1,Dependency,Variable 2
490,PSE_spec_player_count_HT,->,Corner_headers_defence_HT
491,PSE_unpred_chances_missed_AT,->,Event_PSE_Goal_AT
492,Event_Normal_ChancePK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
493,Event_PSE_AT,->,Event_PSE_UnpredOwnGoal_AT
494,Event_PSE_UnpredSpecial_HT,->,PSE_unpred_chances_missed_HT
495,Head_offensives_AT,->,Event_PSE_WingHead_AT
496,RatingLeftDef_HT,->,Score_right_AT
497,Unpredictable_special_action_players_AT,->,Unpredictable_mistake_players_AT
498,Event_PSE_UnpredLongPass_HT,->,Event_PSE_UnpredLongPass_Goal_HT
499,Event_Normal_HT,->,Event_Normal_ChanceLSNonTactic_HT
500,Event_TSE_CornerAnyone_HT,->,Event_TSE_CornerHead_Goal_HT
501,CA_tactic_AT,->,Possession_HT
502,CDs_and_WBs_AT,->,Event_CA_AT
503,Quick_offensives_HT,->,Event_PSE_QuickPass_HT
504,Corner_headers_defence_AT,->,Head_offensives_AT
505,RatingISPAtt_AT,->,Score_ISP_AT
506,Unpredictable_defenders_HT,->,Event_PSE_UnpredLongPass_HT
507,TacticType_HT,->,RatingRightDef_HT
508,Event_PSE_HT,->,Event_TSE_HT
509,Unpredictable_players_AT,->,Unpredictable_mistake_players_AT
510,Event_PSE_UnpredLongPass_AT,->,PSE_unpred_chances_missed_AT
511,Forwards_HT,->,RatingISPAtt_HT
512,PSE_unpred_chances_missed_HT,->,Event_PSE_WingAnyone_HT
513,Event_PSE_UnpredSpecial_AT,->,Unpredictable_offensives_AT
514,Event_PSE_HT,->,Event_PSE_UnpredScoreOwn_HT
515,RatingMidfield_HT,->,Forwards_HT
516,Goals_AT,->,Event_SEZ_PNF_AT
517,TacticType_HT,->,CA_tactic_HT
518,Event_CA_AT,->,Event_Normal_ChanceDFK_AT
519,PDIMs_HT,->,Event_SEZ_PDIM_HT
520,Event_Normal_Goal_HT,->,Event_Normal_ChancePK_Goal_HT
521,Event_PSE_UnpredSpecial_HT,->,Event_PSE_UnpredSpecial_Goal_HT
522,Event_TSE_Corner_Goal_AT,->,Event_TSE_CornerHead_Goal_AT
523,Event_CA_ChanceLMR_Goal_AT,->,Event_CA_ChanceRight_Goal_AT
524,Event_PSE_UnpredScoreOwn_Goal_AT,->,Event_PSE_UnpredScoreOwn_AT
525,Event_CA_ChanceDFK_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
526,Event_PSE_UnpredSpecial_AT,->,Event_PSE_Goal_AT
527,TacticType_AT,->,TacticType_HT
528,Event_CA_Goal_HT,->,Event_CA_ChanceDFK_Goal_HT
529,Event_Normal_ChancePK_Goal_AT,->,Event_Normal_ChanceDFK_Goal_AT
530,Event_CA_ChanceIFK_AT,->,Event_CA_ChanceIFK_Goal_AT
531,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_ChanceLS_Goal_HT
532,Goals_HT,->,Event_PSE_OwnGoal_AT
533,PSE_unpred_chances_missed_AT,->,Event_PSE_UnpredMistake_AT
534,Event_CA_AT,->,Event_Normal_ChanceIFK_AT
535,Normal_chances_missed_HT,->,Event_Normal_ChanceMid_Goal_HT
536,Event_PSE_QuickRush_HT,->,Event_PSE_WingAnyone_HT
537,Event_CA_ChanceLeft_HT,->,Event_CA_ChanceRight_Goal_HT
